Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Area,Q5_Income,Q6_Language,Q7_Purchase_Frequency,Q8_Monthly_Spend,Q9_Channels,Q10_Channel_Reason,Q11_Brand_Loyalty,Q12_Switching_Triggers,Q13_Price_Premium,Q14_Product_Categories,Q15_Halal_Certified,Q15_Natural_Organic,Q15_Free_From_Chemicals,Q15_Dermatologist_Tested,Q15_Vegan_Cruelty_Free,Q15_Arabian_Heritage,Q16_Product_Format,Q17_Festival_Triggers,Q18_Gift_Purchases,Q19_Cultural_Values,Q20_Discovery_Methods,Q21_Influencer_Impact,Q22_AI_Tool_Interest,Q23_Discount_Type,Q24_Loyalty_Programme,Q25_Brand_Interest
35-44,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"20,001-35,000",English,Weekly,401-700,"Duty-free shops; Beauty specialist stores (Sephora, Faces, MAC); Hypermarkets (Carrefour, Lulu, Spinneys)",Exclusive products not available elsewhere,Neutral,Lower price / better value,11-25% more,Body care; Fragrance / perfume / oud,Not Important,Essential,Somewhat Important,Somewhat Important,Very Important,Very Important,Lightweight gel / water-based; Multi-use / hybrid products,Dubai Shopping Festival (DSF / DSS); Wedding season / family events,"Yes, occasionally (2-4 times/year)",Social image and status,Instagram; YouTube; Friends / family,Moderately,"Yes, definitely",Subscription discount,Neutral,Very interested
18-24,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"10,001-20,000",Hindi / Urdu,Every 2-3 months,101-200,"Baqala / convenience stores; Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Loyalty rewards / cashback,Somewhat loyal,Lower price / better value,Up to 10% more,Body care; Haircare; Personal hygiene,Not Important,Essential,Very Important,Very Important,Not Important,Not Important,Rich cream / butter-based; Serum / oil-based concentrate,Christmas / New Year,"Yes, frequently (5+ times/year)",Social image and status,Instagram; TikTok,Not at all,Probably,Free sample / trial size,Very likely,Neutral
35-44,Male,Other,Deira / Bur Dubai / Al Karama,"10,001-20,000",Other,Every 2-3 months,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Widest product range,Low loyalty,Lower price / better value; Attractive packaging / brand story,26-50% more,Body care; Fragrance / perfume / oud; Men's grooming; Oral care,Very Important,Somewhat Important,Somewhat Important,Not Important,Not Important,Very Important,Lightweight gel / water-based,Dubai Shopping Festival (DSF / DSS),"Yes, frequently (5+ times/year)",Health and wellness,Friends / family; Instagram; In-store browsing,Very strongly,Unsure,"Percentage discount (e.g., 20% off)",Unlikely,Interested
18-24,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"10,001-20,000",Hindi / Urdu,Weekly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,No loyalty,Superior ingredients / formulation,Up to 10% more,Body care; Fragrance / perfume / oud; Men's grooming; Oral care; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Multi-use / hybrid products,Diwali,"Yes, occasionally (2-4 times/year)",Heritage and tradition,Google search / blogs; Friends / family; YouTube,Not at all,Unsure,Loyalty points,Very likely,Not very interested
35-44,Female,Other,Jumeirah / Umm Suqeim,"10,001-20,000",Arabic,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Convenience / delivery speed,Low loyalty,Lower price / better value,More than 50% more,Face skincare; Colour cosmetics / makeup,Essential,Somewhat Important,Somewhat Important,Very Important,Essential,Somewhat Important,Lightweight gel / water-based,Diwali; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Heritage and tradition; Religious compliance (halal),Instagram; TikTok; Subscription boxes,Slightly,Probably,Bundle deal,Very likely,Very interested
35-44,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,"10,001-20,000",English,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys)",Trusted recommendations / expert staff,Low loyalty,Lower price / better value,11-25% more,Face skincare; Body care; Fragrance / perfume / oud,Somewhat Important,Essential,Very Important,Somewhat Important,Very Important,Essential,Lightweight gel / water-based; Multi-use / hybrid products,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Heritage and tradition; Social image and status,Instagram; In-store browsing; Celebrity endorsements,Moderately,Unsure,"Percentage discount (e.g., 20% off)",Unlikely,Neutral
55+,Female,"East Asian (Chinese, Korean, Japanese)",Deira / Bur Dubai / Al Karama,"35,001-50,000",Mandarin / Other Asian language,Every 2 weeks,201-400,"Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Low loyalty,Lower price / better value,26-50% more,Face skincare; Body care; Haircare; Colour cosmetics / makeup,Somewhat Important,Essential,Very Important,Very Important,Somewhat Important,Not Important,Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Social image and status,Friends / family,Slightly,No,Bundle deal,Unlikely,Interested
18-24,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,"20,001-35,000",English,Monthly,101-200,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Convenience / delivery speed,Low loyalty,Lower price / better value; Availability in my preferred store,11-25% more,Face skincare; Body care; Oral care,Somewhat Important,Very Important,Essential,Somewhat Important,Not Important,Somewhat Important,Rich cream / butter-based,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),"Yes, frequently (5+ times/year)",Health and wellness,YouTube,Moderately,"Yes, definitely",Loyalty points,Likely,Neutral
18-24,Male,African,Al Barsha / Discovery Gardens / JVC,"20,001-35,000",English,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,No loyalty,Superior ingredients / formulation,11-25% more,Body care; Haircare; Fragrance / perfume / oud,Essential,Essential,Not Important,Essential,Essential,Not Important,Rich cream / butter-based; Multi-use / hybrid products,None - consistent spending,"Yes, occasionally (2-4 times/year)",Scientific efficacy,Friends / family; In-store browsing; Google search / blogs,Very strongly,Probably,Loyalty points,Very likely,Very interested
25-34,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"10,001-20,000",English,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Brand websites / D2C apps; Baqala / convenience stores",Widest product range,Neutral,Lower price / better value; Superior ingredients / formulation,More than 50% more,Face skincare; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Sheet masks / single-use treatments,Dubai Shopping Festival (DSF / DSS); Wedding season / family events; None - consistent spending,Never,Health and wellness,Friends / family,Moderately,Probably,"Percentage discount (e.g., 20% off)",Likely,Interested
25-34,Male,Filipino,Silicon Oasis / Academic City / Sports City,"20,001-35,000",English,Monthly,101-200,Brand websites / D2C apps,Ability to test / try before buying,Neutral,Attractive packaging / brand story; Lower price / better value,More than 50% more,Body care; Fragrance / perfume / oud; Personal hygiene,Somewhat Important,Very Important,Not Important,Very Important,Somewhat Important,Not Important,Rich cream / butter-based; Multi-use / hybrid products,None - consistent spending,"Yes, frequently (5+ times/year)",Scientific efficacy; Health and wellness,Instagram; TikTok,Slightly,"Yes, definitely",Loyalty points,Neutral,Neutral
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,"Below 5,000",Hindi / Urdu,Every 2-3 months,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC)",Convenience / delivery speed,Very loyal,Lower price / better value; Recommendation from a friend or influencer,0% - would not pay more,Fragrance / perfume / oud,Very Important,Essential,Very Important,Very Important,Very Important,Very Important,Sheet masks / single-use treatments,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Scientific efficacy,Instagram; TikTok; Friends / family,Very strongly,No,Free sample / trial size,Likely,Neutral
45-54,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Mirdif / Al Warqa / Rashidiya,"10,001-20,000",Hindi / Urdu,Weekly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys)",Convenience / delivery speed,Somewhat loyal,Superior ingredients / formulation,11-25% more,Body care; Fragrance / perfume / oud; Oral care; Colour cosmetics / makeup,Not Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Essential,Rich cream / butter-based; Sheet masks / single-use treatments,Ramadan / Eid al-Fitr,"Yes, frequently (5+ times/year)",Environmental sustainability,Instagram; Google search / blogs,Not at all,Probably,"Percentage discount (e.g., 20% off)",Likely,Not very interested
25-34,Female,"Western Expat (European, American, Australian)",Deira / Bur Dubai / Al Karama,"Above 50,000",English,Monthly,201-400,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Exclusive products not available elsewhere,Low loyalty,Superior ingredients / formulation; Lower price / better value,26-50% more,Body care,Somewhat Important,Essential,Not Important,Essential,Essential,Very Important,Serum / oil-based concentrate,Valentine's Day / Mother's Day,Rarely (once a year or less),Religious compliance (halal); Health and wellness,Friends / family,Slightly,"Yes, definitely",Free sample / trial size,Neutral,Very interested
25-34,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Mirdif / Al Warqa / Rashidiya,"20,001-35,000",Arabic,Monthly,401-700,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Best prices / discounts,No loyalty,Lower price / better value; Attractive packaging / brand story,26-50% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming,Essential,Very Important,Very Important,Not Important,Not Important,Somewhat Important,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Christmas / New Year; Valentine's Day / Mother's Day; Wedding season / family events,Rarely (once a year or less),Social image and status; Health and wellness,Instagram; Google search / blogs,Moderately,"Yes, definitely",Bundle deal,Neutral,Very interested
35-44,Male,African,Mirdif / Al Warqa / Rashidiya,"10,001-20,000",English,Monthly,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Ability to test / try before buying,Neutral,Superior ingredients / formulation,26-50% more,Body care; Haircare; Fragrance / perfume / oud; Men's grooming; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Very Important,Essential,Somewhat Important,Essential,Very Important,Rich cream / butter-based,Eid al-Adha; None - consistent spending,"Yes, frequently (5+ times/year)",Heritage and tradition,TikTok; Google search / blogs,Slightly,Unsure,"Percentage discount (e.g., 20% off)",Neutral,Neutral
25-34,Male,Emirati,Deira / Bur Dubai / Al Karama,"35,001-50,000",Arabic,Every 2 weeks,401-700,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps; Beauty specialist stores (Sephora, Faces, MAC)",Best prices / discounts,Neutral,Halal / clean / organic certification,26-50% more,Face skincare; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Essential,Very Important,Essential,Essential,Very Important,Very Important,Spray / mist,Eid al-Adha; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Heritage and tradition,YouTube; Celebrity endorsements; In-store browsing,Moderately,No,Loyalty points,Likely,Neutral
35-44,Male,"East Asian (Chinese, Korean, Japanese)",Jumeirah / Umm Suqeim,"Above 50,000",English,Weekly,Above 700,"Hypermarkets (Carrefour, Lulu, Spinneys)",Best prices / discounts,Somewhat loyal,Lower price / better value; Superior ingredients / formulation,26-50% more,Body care; Haircare; Fragrance / perfume / oud; Men's grooming; Colour cosmetics / makeup,Very Important,Essential,Essential,Somewhat Important,Somewhat Important,Very Important,Serum / oil-based concentrate; Spray / mist,Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Social image and status,In-store browsing,Not at all,"Yes, definitely",Bundle deal,Unlikely,Not very interested
18-24,Male,Emirati,Mirdif / Al Warqa / Rashidiya,"35,001-50,000",Arabic,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Convenience / delivery speed,No loyalty,Lower price / better value,0% - would not pay more,Face skincare; Men's grooming; Oral care,Essential,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Rich cream / butter-based,Ramadan / Eid al-Fitr; Christmas / New Year,Never,Environmental sustainability,In-store browsing,Moderately,"Yes, definitely",Free sample / trial size,Likely,Interested
25-34,Male,Other,Al Barsha / Discovery Gardens / JVC,"35,001-50,000",English,Monthly,Above 700,"Online marketplaces (Amazon.ae, Noon); Subscription boxes",Best prices / discounts,Neutral,Availability in my preferred store,26-50% more,Face skincare; Haircare; Fragrance / perfume / oud,Not Important,Somewhat Important,Not Important,Very Important,Very Important,Essential,Serum / oil-based concentrate; Spray / mist,Dubai Shopping Festival (DSF / DSS); None - consistent spending,"Yes, occasionally (2-4 times/year)",Health and wellness; Scientific efficacy,Instagram; TikTok; Celebrity endorsements,Not at all,Unsure,Free sample / trial size,Neutral,Neutral
18-24,Male,African,Mirdif / Al Warqa / Rashidiya,Prefer not to say,Other,Monthly,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Convenience / delivery speed,Neutral,Superior ingredients / formulation,0% - would not pay more,Face skincare; Body care; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Very Important,Somewhat Important,Very Important,Somewhat Important,Essential,Not Important,Multi-use / hybrid products,Valentine's Day / Mother's Day; Wedding season / family events,Rarely (once a year or less),Religious compliance (halal),In-store browsing; Google search / blogs,Slightly,Unsure,Free sample / trial size,Neutral,Not interested at all
18-24,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Silicon Oasis / Academic City / Sports City,"20,001-35,000",English,Rarely / Only when needed,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys)",Best prices / discounts,Low loyalty,Lower price / better value,26-50% more,Face skincare; Fragrance / perfume / oud; Men's grooming,Somewhat Important,Essential,Essential,Essential,Very Important,Very Important,Rich cream / butter-based; Spray / mist,Eid al-Adha; Diwali,"Yes, frequently (5+ times/year)",Scientific efficacy; Health and wellness,Instagram; TikTok; Google search / blogs,Very strongly,Probably,"Percentage discount (e.g., 20% off)",Likely,Interested
45-54,Male,"East Asian (Chinese, Korean, Japanese)",Deira / Bur Dubai / Al Karama,"20,001-35,000",Mandarin / Other Asian language,Monthly,50-100,"Online marketplaces (Amazon.ae, Noon)",Convenience / delivery speed,No loyalty,Personalised products,11-25% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Oral care,Not Important,Very Important,Somewhat Important,Essential,Essential,Not Important,Rich cream / butter-based,Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Environmental sustainability,TikTok; YouTube; In-store browsing,Slightly,Unsure,Buy-one-get-one-free (BOGO),Likely,Neutral
18-24,Male,"East Asian (Chinese, Korean, Japanese)",Downtown / Business Bay / DIFC,"5,000-10,000",English,Every 2-3 months,401-700,Duty-free shops,Widest product range,Somewhat loyal,Lower price / better value,Up to 10% more,Face skincare; Fragrance / perfume / oud; Men's grooming,Very Important,Essential,Not Important,Very Important,Somewhat Important,Very Important,Spray / mist; Multi-use / hybrid products,Christmas / New Year,"Yes, occasionally (2-4 times/year)",Environmental sustainability,TikTok; Friends / family; Google search / blogs,Slightly,Unsure,Loyalty points,Neutral,Interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,"10,001-20,000",English,Every 2 weeks,101-200,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Best prices / discounts,Neutral,Lower price / better value; Halal / clean / organic certification,Up to 10% more,Face skincare; Haircare; Men's grooming; Personal hygiene,Very Important,Somewhat Important,Somewhat Important,Very Important,Essential,Very Important,Rich cream / butter-based,Ramadan / Eid al-Fitr; None - consistent spending,Never,Scientific efficacy; Health and wellness,Instagram; YouTube,Very strongly,"Yes, definitely",Free shipping,Very likely,Interested
25-34,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Other,"20,001-35,000",Arabic,Every 2 weeks,201-400,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps; Baqala / convenience stores",Ability to test / try before buying,Very loyal,Superior ingredients / formulation; Availability in my preferred store,0% - would not pay more,Face skincare; Fragrance / perfume / oud; Personal hygiene,Very Important,Essential,Essential,Somewhat Important,Not Important,Very Important,Serum / oil-based concentrate,Diwali; Christmas / New Year; Dubai Shopping Festival (DSF / DSS); None - consistent spending,Rarely (once a year or less),Social image and status,In-store browsing; TikTok; YouTube,Slightly,Probably,Bundle deal,Neutral,Not very interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,"20,001-35,000",English,Every 2 weeks,401-700,"Beauty specialist stores (Sephora, Faces, MAC); Baqala / convenience stores",Trusted recommendations / expert staff,No loyalty,Personalised products; Lower price / better value,26-50% more,Face skincare; Body care; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Essential,Essential,Very Important,Essential,Very Important,Very Important,Spray / mist,Diwali,Never,Religious compliance (halal),Instagram,Very strongly,"Yes, definitely",Subscription discount,Likely,Neutral
45-54,Male,"East Asian (Chinese, Korean, Japanese)",Downtown / Business Bay / DIFC,"20,001-35,000",Mandarin / Other Asian language,Monthly,101-200,"Pharmacies (BinSina, Aster, Life Pharmacy); Brand websites / D2C apps",Trusted recommendations / expert staff,Somewhat loyal,Personalised products; Halal / clean / organic certification,Up to 10% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Somewhat Important,Essential,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Multi-use / hybrid products,Ramadan / Eid al-Fitr,Never,Environmental sustainability,Friends / family; Google search / blogs; YouTube,Slightly,Probably,Bundle deal,Neutral,Neutral
18-24,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,Prefer not to say,English,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC)",Trusted recommendations / expert staff,No loyalty,Attractive packaging / brand story,Up to 10% more,Face skincare; Body care; Haircare; Men's grooming; Personal hygiene,Very Important,Not Important,Very Important,Very Important,Very Important,Somewhat Important,Multi-use / hybrid products,Diwali; Christmas / New Year,"Yes, occasionally (2-4 times/year)",Religious compliance (halal),Instagram; TikTok; Friends / family,Slightly,Unsure,Buy-one-get-one-free (BOGO),Likely,Neutral
35-44,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,"5,000-10,000",English,Every 2-3 months,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Somewhat loyal,Superior ingredients / formulation,0% - would not pay more,Face skincare; Oral care,Not Important,Very Important,Somewhat Important,Not Important,Very Important,Not Important,Serum / oil-based concentrate; Multi-use / hybrid products,Ramadan / Eid al-Fitr; Eid al-Adha; Diwali,Never,Environmental sustainability; Health and wellness,Instagram; Friends / family; In-store browsing,Slightly,No,Free sample / trial size,Very likely,Not interested at all
55+,Male,Emirati,Dubai Marina / JBR / JLT,"Above 50,000",English,Monthly,401-700,"Online marketplaces (Amazon.ae, Noon); Baqala / convenience stores",Trusted recommendations / expert staff,Low loyalty,Lower price / better value,11-25% more,Face skincare; Body care; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Lightweight gel / water-based; Multi-use / hybrid products,Ramadan / Eid al-Fitr; Eid al-Adha; Dubai Shopping Festival (DSF / DSS); Valentine's Day / Mother's Day,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Environmental sustainability,YouTube; Friends / family,Not at all,"Yes, definitely",Free sample / trial size,Neutral,Neutral
25-34,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Dubai Marina / JBR / JLT,"10,001-20,000",Arabic,Weekly,201-400,"Duty-free shops; Baqala / convenience stores; Online marketplaces (Amazon.ae, Noon)",Convenience / delivery speed,Neutral,Lower price / better value,Up to 10% more,Face skincare; Oral care; Colour cosmetics / makeup; Personal hygiene,Not Important,Somewhat Important,Very Important,Very Important,Essential,Somewhat Important,Spray / mist,Ramadan / Eid al-Fitr; Valentine's Day / Mother's Day,Never,Religious compliance (halal); Heritage and tradition,In-store browsing,Very strongly,Unsure,"Percentage discount (e.g., 20% off)",Neutral,Interested
45-54,Female,"East Asian (Chinese, Korean, Japanese)",Deira / Bur Dubai / Al Karama,"20,001-35,000",English,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Loyalty rewards / cashback,Neutral,Halal / clean / organic certification; Personalised products,11-25% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Oral care,Essential,Essential,Very Important,Very Important,Essential,Essential,Spray / mist; Multi-use / hybrid products,Ramadan / Eid al-Fitr,Rarely (once a year or less),Social image and status,In-store browsing; Subscription boxes,Not at all,Unsure,Loyalty points,Very unlikely,Not very interested
18-24,Female,Other,Downtown / Business Bay / DIFC,"35,001-50,000",English,Weekly,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon); Baqala / convenience stores",Ability to test / try before buying,Very loyal,Recommendation from a friend or influencer; Lower price / better value,26-50% more,Face skincare; Haircare; Personal hygiene,Very Important,Essential,Very Important,Very Important,Essential,Somewhat Important,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Christmas / New Year; Dubai Shopping Festival (DSF / DSS); Wedding season / family events,"Yes, occasionally (2-4 times/year)",Social image and status,TikTok; Celebrity endorsements,Moderately,Unsure,Free sample / trial size,Very likely,Very interested
25-34,Male,Emirati,Silicon Oasis / Academic City / Sports City,"20,001-35,000",Arabic,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Somewhat loyal,Lower price / better value; Superior ingredients / formulation,26-50% more,Face skincare; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Essential,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Rich cream / butter-based,Ramadan / Eid al-Fitr; Eid al-Adha; Diwali; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Heritage and tradition,In-store browsing; TikTok; Instagram,Very strongly,No,Free shipping,Neutral,Not interested at all
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,"5,000-10,000",Hindi / Urdu,Every 2-3 months,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Best prices / discounts,Neutral,Lower price / better value; Superior ingredients / formulation,Up to 10% more,Haircare; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Very Important,Essential,Somewhat Important,Not Important,Very Important,Essential,Serum / oil-based concentrate; Multi-use / hybrid products,Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Health and wellness,TikTok,Moderately,Unsure,Buy-one-get-one-free (BOGO),Likely,Neutral
35-44,Male,"Western Expat (European, American, Australian)",Silicon Oasis / Academic City / Sports City,"35,001-50,000",English,Monthly,101-200,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon); Subscription boxes",Best prices / discounts,Very loyal,Recommendation from a friend or influencer,26-50% more,Face skincare; Haircare; Fragrance / perfume / oud; Men's grooming,Somewhat Important,Very Important,Not Important,Very Important,Very Important,Very Important,Lightweight gel / water-based,Diwali; Valentine's Day / Mother's Day; None - consistent spending,"Yes, occasionally (2-4 times/year)",Environmental sustainability; Health and wellness,YouTube; TikTok; Friends / family,Very strongly,"Yes, definitely","Percentage discount (e.g., 20% off)",Likely,Neutral
55+,Non-binary / Prefer not to say,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Silicon Oasis / Academic City / Sports City,"20,001-35,000",Arabic,Every 2 weeks,201-400,Brand websites / D2C apps,Best prices / discounts,Neutral,Lower price / better value; Superior ingredients / formulation,11-25% more,Face skincare; Body care; Fragrance / perfume / oud; Men's grooming; Colour cosmetics / makeup,Very Important,Essential,Somewhat Important,Very Important,Essential,Very Important,Sheet masks / single-use treatments,Christmas / New Year; Dubai Shopping Festival (DSF / DSS); Wedding season / family events,"Yes, occasionally (2-4 times/year)",Scientific efficacy,Instagram; Friends / family,Slightly,No,Buy-one-get-one-free (BOGO),Very likely,Interested
25-34,Male,Emirati,Al Barsha / Discovery Gardens / JVC,"Above 50,000",Arabic,Every 2 weeks,Above 700,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Trusted recommendations / expert staff,Low loyalty,Personalised products,More than 50% more,Fragrance / perfume / oud; Men's grooming; Personal hygiene,Very Important,Very Important,Very Important,Somewhat Important,Essential,Very Important,Lightweight gel / water-based; Rich cream / butter-based,None - consistent spending,Never,Religious compliance (halal); Heritage and tradition,Instagram; TikTok; Friends / family,Very strongly,Unsure,Loyalty points,Very likely,Very interested
35-44,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,Prefer not to say,English,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC)",Best prices / discounts,Very loyal,Lower price / better value,Up to 10% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Oral care; Personal hygiene,Not Important,Essential,Not Important,Essential,Very Important,Not Important,Lightweight gel / water-based; Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Diwali; Christmas / New Year,Rarely (once a year or less),Health and wellness,YouTube; Subscription boxes; Friends / family,Not at all,Probably,Free shipping,Neutral,Neutral
18-24,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Deira / Bur Dubai / Al Karama,"5,000-10,000",English,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC)",Convenience / delivery speed,Neutral,Halal / clean / organic certification,Up to 10% more,Face skincare; Body care; Fragrance / perfume / oud; Personal hygiene,Very Important,Somewhat Important,Very Important,Not Important,Very Important,Essential,Rich cream / butter-based,Eid al-Adha,"Yes, occasionally (2-4 times/year)",Religious compliance (halal),TikTok; Friends / family; Celebrity endorsements,Slightly,"Yes, definitely",Subscription discount,Likely,Interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"10,001-20,000",Hindi / Urdu,Rarely / Only when needed,101-200,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon); Duty-free shops",Best prices / discounts,Very loyal,Superior ingredients / formulation; Personalised products,11-25% more,Face skincare; Body care; Men's grooming; Personal hygiene,Essential,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Lightweight gel / water-based,None - consistent spending,Rarely (once a year or less),Health and wellness,Friends / family,Not at all,"Yes, definitely","Percentage discount (e.g., 20% off)",Neutral,Very interested
